School,Pre,11/16,11/23,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,Final
Northwestern,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
Louisville,19,20,16,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,4,4,5,5,4,3,3,3,3,2,2,1,4,3,2,2,3,2,2
UTEP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,25,-
Purdue,7,7,6,4,5,4,4,4,4,6,13,10,8,6,4,3,7,6,10
Pitt,-,-,-,-,-,-,-,-,23,16,9,17,22,25,19,12,17,16,18
Florida State,-,-,-,21,-,-,-,22,18,25,-,-,-,-,-,-,-,-,-
Northern Iowa,-,-,-,-,-,-,-,-,-,-,20,-,24,19,-,25,-,-,-
Ole Miss,-,-,-,-,25,20,15,16,14,21,22,18,25,-,-,-,-,-,-
Michigan,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gonzaga,-,-,-,17,21,15,25,-,19,17,15,13,17,16,13,18,18,18,22
Xavier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,24,25
Vanderbilt,-,-,24,-,-,-,-,-,-,-,-,21,18,22,17,16,13,20,21
California,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Villanova,5,5,4,3,3,8,8,8,6,4,4,3,2,4,3,7,9,10,9
Kansas State,-,-,-,-,-,17,12,12,11,13,10,11,10,9,7,6,5,9,7
Minnesota,25,24,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cincinnati,-,-,-,22,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgetown,20,19,18,16,15,11,14,13,12,11,12,7,7,7,10,11,19,22,14
Tennessee,10,10,9,11,9,9,16,14,16,9,8,14,14,12,20,19,16,15,15
Wake Forest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-
Miami (FL),-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-
Syracuse,-,-,10,8,7,5,5,5,7,5,5,4,3,2,5,4,1,3,4
Maryland,-,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,22,19,20
BYU,-,-,-,-,-,-,-,-,25,18,14,12,12,17,16,13,14,14,17
Georgia Tech,22,21,-,-,24,22,-,-,20,20,19,22,21,20,-,-,-,-,-
Notre Dame,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UConn,12,12,13,14,14,14,11,10,13,15,-,19,-,-,-,-,-,-,-
Duke,9,9,7,6,8,7,7,7,5,8,7,8,11,8,6,5,4,4,3
West Virginia,8,8,8,7,6,6,6,6,8,10,11,9,6,5,8,8,10,7,6
Wisconsin,-,-,-,-,20,-,-,23,17,13,18,16,16,11,14,17,15,13,16
Washington,14,14,14,12,17,24,22,17,24,-,-,-,-,-,-,-,-,-,-
UNLV,-,-,-,24,18,-,-,-,-,-,-,-,-,23,-,-,-,-,-
Clemson,24,22,19,18,-,-,24,21,-,24,17,-,-,-,-,-,-,-,-
Baylor,-,-,-,-,-,-,-,-,-,22,25,24,20,24,22,24,21,21,19
Portland,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Richmond,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,23,-,-,24
Texas,3,3,3,2,2,2,2,2,2,1,1,6,9,14,15,21,-,-,-
Texas A&M,-,-,-,19,16,23,19,-,-,-,-,-,-,-,24,22,23,23,23
Illinois,23,23,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ohio State,16,15,17,15,13,18,17,15,-,-,21,20,13,13,9,9,6,5,5
Kansas,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,2,1,1
Oklahoma,17,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mississippi State,18,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
UNC,6,6,11,10,11,10,10,9,9,12,24,-,-,-,-,-,-,-,-
Florida,-,-,-,13,10,13,18,-,-,-,-,-,-,-,-,-,-,-,-
Dayton,21,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama-Birmingham,-,-,-,-,-,-,-,24,-,-,-,25,-,-,-,-,-,-,-
Texas Tech,-,-,-,-,23,16,23,20,22,-,-,-,-,-,-,-,-,-,-
Butler,11,11,12,23,22,21,20,-,-,-,-,-,23,18,18,15,12,12,11
New Mexico,-,-,-,-,-,19,13,19,15,-,-,23,15,15,12,10,8,8,8
Temple,-,-,-,-,-,-,21,18,21,19,16,15,19,21,21,20,20,17,12
Michigan State,2,2,2,9,12,12,9,11,10,7,6,5,5,10,11,14,11,11,13
