School,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,Final
Colorado,-,-,-,-,-,21,20,21,20,15,21,-,-,-,-,-,-,-,-,-
Louisville,3,3,3,9,7,6,6,6,14,12,18,12,12,14,13,11,7,11,5,5
Kentucky,1,1,4,3,3,11,19,18,15,14,13,14,11,18,14,18,17,25,-,-
Marquette,17,17,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wichita State,16,16,14,12,11,12,11,10,8,6,5,5,4,4,4,3,2,2,2,2
Pitt,-,-,-,-,-,-,-,-,-,-,22,20,18,25,25,-,-,-,-,-
SMU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,23,18,25,-
Creighton,-,-,23,20,-,-,-,-,-,-,20,-,20,12,18,12,9,13,14,16
Michigan,7,7,15,22,22,-,-,-,-,-,-,21,10,10,15,20,16,12,8,7
Oregon,19,18,17,14,13,15,13,12,10,17,-,-,-,-,-,-,-,-,-,-
Virginia,24,25,-,-,-,-,-,-,-,-,-,-,-,20,17,14,12,5,6,3
Gonzaga,15,15,13,11,19,20,21,24,24,22,-,-,-,23,-,25,-,-,-,-
San Diego State,-,-,-,-,24,25,24,20,21,13,10,7,5,5,5,6,13,10,9,13
Villanova,-,-,-,-,14,10,8,8,11,8,6,4,9,6,6,9,8,6,3,6
Kansas State,-,-,-,-,-,-,-,-,-,25,-,22,-,-,-,-,-,-,-,-
Cincinnati,-,-,-,-,-,-,-,-,-,-,19,15,13,7,10,7,11,15,13,15
Syracuse,8,9,9,8,4,2,2,2,2,2,2,2,2,1,1,1,4,7,11,14
Notre Dame,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UConn,18,19,18,13,12,9,10,15,17,-,-,-,-,22,24,21,-,19,21,18
Duke,4,4,6,6,10,8,8,8,7,16,23,18,17,11,8,5,6,4,7,8
Memphis,13,13,11,21,16,16,15,17,18,24,17,23,22,24,20,22,21,20,19,-
Wisconsin,20,20,12,10,8,4,4,4,4,4,3,9,14,-,21,16,14,9,12,12
UCLA,22,24,22,19,18,-,-,-,-,-,-,-,-,-,-,23,-,-,-,20
Saint Louis,-,-,-,-,-,-,-,-,-,-,24,19,19,13,12,10,10,17,18,25
Baylor,25,23,20,18,20,14,12,11,9,7,12,24,-,-,-,-,-,-,-,23
Oklahoma State,9,8,7,5,9,7,7,7,6,11,9,11,8,19,-,-,-,-,-,-
Texas,-,-,-,-,-,-,-,-,-,-,-,-,25,15,19,19,24,-,-,-
Missouri,-,-,-,-,-,24,23,25,25,21,-,-,-,-,-,-,-,-,-,-
Illinois,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-
Iowa,-,-,-,23,23,23,25,22,22,20,14,10,15,17,16,15,20,24,-,-
Arizona,6,6,5,4,2,1,1,1,1,1,1,1,1,2,2,4,3,3,4,4
Ohio State,11,10,8,7,5,3,3,3,3,3,11,17,24,-,22,24,22,-,24,22
Kansas,5,5,2,2,6,13,18,16,16,18,15,8,6,8,7,8,5,8,10,10
Oklahoma,-,-,-,-,-,-,-,-,-,-,25,25,23,21,-,-,-,23,17,21
UMass,-,-,-,24,21,22,22,23,23,19,16,13,21,-,-,-,-,-,-,-
UNC,12,12,24,16,-,18,14,19,19,-,-,-,-,-,-,-,19,14,15,19
Iowa State,-,-,21,17,17,17,17,14,13,9,8,16,16,16,11,17,15,16,16,9
Florida,10,11,16,15,15,19,16,13,12,10,7,6,3,3,3,2,1,1,1,1
Dayton,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Mexico,23,22,19,-,-,-,-,-,-,-,-,-,-,-,-,-,25,21,20,17
VCU,14,14,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,24
Michigan State,2,2,1,1,1,5,5,5,5,5,4,3,7,9,9,13,18,22,22,11
