School,Pre,11/15,11/22,11/29,12/6,12/13,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,Final
Louisville,-,-,-,-,24,20,-,22,-,18,19,23,15,16,16,16,11,14,14
Kentucky,11,12,8,10,17,17,13,11,10,13,12,14,10,18,22,22,20,15,11
Purdue,14,14,10,22,19,19,14,12,11,8,14,12,11,14,11,8,6,9,13
UCF,-,-,-,-,-,-,24,19,19,23,-,-,-,-,-,-,-,-,-
Pitt,5,5,5,3,3,8,6,6,5,5,5,2,4,4,4,4,4,3,4
Florida State,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-
Gonzaga,12,11,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Xavier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,25,23,18,20
Vanderbilt,-,-,-,-,-,-,-,24,22,-,-,19,23,23,18,18,21,-,25
San Diego State,25,25,18,17,14,11,7,7,6,6,6,4,7,6,6,6,9,7,6
St. John's (NY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,15,17,18
Georgia,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-
Villanova,6,6,7,12,12,10,8,8,7,7,7,8,12,9,15,15,19,-,-
Kansas State,3,3,4,5,5,6,11,17,17,21,-,-,-,-,-,-,-,19,21
Minnesota,-,-,15,15,22,21,17,14,-,-,15,16,18,-,-,-,-,-,-
Cincinnati,-,-,-,-,-,-,-,-,24,25,25,-,-,-,-,-,-,25,-
Georgetown,20,20,16,16,9,15,10,9,13,22,23,21,13,11,9,11,17,22,-
Tennessee,23,24,24,13,11,7,19,-,-,-,-,-,-,-,-,-,-,-,-
Syracuse,10,10,9,8,8,5,5,5,4,4,3,9,17,12,17,17,12,11,12
BYU,24,23,23,21,18,16,23,16,15,11,9,9,8,7,7,7,3,8,10
Notre Dame,-,-,-,25,23,24,22,15,14,9,16,15,9,8,8,9,8,4,5
UConn,-,-,-,7,6,4,4,4,8,10,8,5,6,10,13,14,16,21,9
Duke,1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,1,4,5,3
Memphis,19,19,14,14,13,18,16,21,21,-,-,-,-,-,-,-,-,-,-
West Virginia,-,-,-,-,-,-,-,-,-,-,21,-,25,25,-,-,-,20,22
Wisconsin,-,-,-,-,-,-,-,-,-,20,18,17,19,13,10,12,10,13,16
Utah State,-,-,-,-,-,-,-,-,-,-,-,-,22,21,25,-,25,23,19
Washington,18,17,13,23,21,-,-,-,23,17,20,18,20,-,-,-,-,-,23
UNLV,-,-,-,24,20,22,-,-,25,-,-,-,-,-,-,-,-,-,-
Baylor,16,17,12,11,10,9,15,-,-,-,-,-,-,-,-,-,-,-,-
Virginia Tech,21,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,-,-,20,19,25,22,18,13,12,12,10,7,3,3,3,5,7,10,8
Missouri,15,15,11,9,15,13,9,10,9,15,13,11,14,19,20,20,22,-,-
Texas A&M,-,-,-,-,-,25,25,18,16,14,11,13,16,22,21,21,24,-,24
Illinois,13,13,19,20,16,12,21,23,20,16,23,20,-,-,-,-,-,-,-
Arizona,-,-,-,-,-,-,-,-,-,-,-,-,21,15,12,10,18,16,17
Ohio State,4,4,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1
Kansas,7,7,6,4,4,3,3,3,3,3,2,6,2,2,1,3,2,2,2
Saint Mary's,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-
UNC,8,8,25,-,-,-,-,-,-,-,-,-,23,20,19,19,13,6,7
Florida,9,9,16,18,-,-,20,-,-,-,-,24,-,17,14,13,14,12,15
Butler,17,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Temple,22,21,21,-,-,-,-,25,-,19,-,-,-,24,23,24,-,24,-
Michigan State,2,2,2,6,7,14,12,20,18,-,17,25,-,-,-,-,-,-,-
