School,Pre,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/2,3/9,Final
Louisville,8,7,6,5,4,4,4,5,5,6,10,10,9,9,12,17,16,14,17
Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nebraska,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seton Hall,-,-,-,-,-,-,-,-,19,21,24,-,-,-,-,-,-,-,-
Wichita State,11,11,9,8,11,11,11,16,15,13,14,12,16,15,13,11,8,12,14
Boise State,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-
Northern Iowa,-,-,-,-,23,-,23,23,-,23,20,18,14,13,11,10,11,10,11
SMU,22,22,-,-,-,-,-,-,-,-,-,-,23,25,21,21,22,20,18
Creighton,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Michigan,24,24,19,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,-,-,-,-,-,-,-,-,-,-,23,22,-,-,-,-,-,-,-
Virginia,9,9,8,7,6,6,5,3,3,2,2,2,3,2,2,2,2,3,6
Gonzaga,13,13,10,9,9,8,8,7,6,3,3,3,2,3,3,3,7,7,7
San Diego State,16,16,15,13,18,19,-,-,-,-,-,-,-,-,-,24,-,-,-
St. John's (NY),-,-,-,-,24,20,17,15,24,-,-,-,-,-,-,-,-,-,-
Villanova,12,12,12,10,7,7,7,6,8,5,4,7,7,6,6,6,4,4,2
Davidson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-
Murray State,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-
Georgetown,-,-,-,-,-,-,-,25,-,-,-,21,24,-,-,-,-,23,22
Miami (FL),-,-,17,15,20,18,-,-,-,-,-,23,-,-,-,-,-,-,-
Syracuse,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maryland,-,-,-,21,19,17,15,12,11,14,13,16,17,19,16,14,10,8,12
Notre Dame,-,-,-,-,25,21,16,14,13,12,8,8,10,10,10,9,12,11,8
UConn,17,17,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Duke,4,4,4,4,2,2,2,2,2,4,5,4,4,4,4,4,3,2,4
West Virginia,-,-,21,16,22,22,18,17,14,16,18,17,15,21,23,20,20,18,20
Wisconsin,3,3,2,2,5,5,6,4,4,7,6,5,5,5,5,5,6,6,3
UCLA,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harvard,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Utah,25,25,-,25,13,14,14,10,9,8,12,11,13,11,9,13,13,17,19
Washington,-,-,-,-,17,16,13,21,-,-,-,-,-,-,-,-,-,-,-
Colorado State,-,-,-,-,-,-,24,24,-,-,-,-,-,-,-,-,-,-,-
Arkansas,-,-,25,18,-,-,-,-,23,19,-,-,-,24,18,18,18,21,21
Baylor,-,-,-,-,-,-,22,22,21,22,21,20,19,16,20,19,14,16,16
Oklahoma State,-,-,-,-,-,-,-,-,-,24,-,-,-,22,22,-,-,-,-
Texas,10,10,7,6,8,9,9,11,10,20,17,19,25,-,-,-,-,-,-
Old Dominion,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-
Illinois,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-
Wyoming,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-
Arizona,2,2,3,3,3,3,3,8,7,10,7,6,6,7,7,7,5,5,5
Ohio State,20,20,16,14,12,12,21,20,22,-,-,-,20,23,24,-,23,-,-
Kansas,5,5,11,11,10,10,10,13,12,9,11,9,8,8,8,8,9,9,10
Oklahoma,19,18,-,22,16,15,19,18,16,18,19,24,21,17,17,16,15,15,13
UNC,6,6,5,12,21,24,20,19,18,15,15,13,12,12,15,15,19,19,15
Iowa State,14,14,13,20,14,13,12,9,17,11,9,15,11,14,14,12,17,13,9
Florida,7,8,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Providence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,24,-,-
Dayton,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-
TCU,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-
Butler,-,-,-,23,15,23,-,-,-,-,-,25,22,18,19,23,21,22,24
VCU,15,15,14,-,-,-,-,-,20,17,16,14,18,20,25,22,-,-,25
Michigan State,18,19,20,19,-,25,-,-,-,-,-,-,-,-,-,-,-,-,23
